id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,23,0-33,0-127,187,0,loop,40,0,0,100,4842,25,-12000,-12000,-4654,2791,328,-2959,0,0,-12000,-12000,-12000,-1868,968,-2884,0,6300,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
1,23,34-42,0-127,187,0,loop,40,0,0,100,4842,25,-12000,-12000,-4654,2617,328,-2959,0,0,-12000,-12000,-12000,-1962,958,-2959,0,6300,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
2,22,43-54,0-127,187,0,loop,52,0,0,100,4842,25,-12000,-12000,-4654,2459,328,-2959,0,0,-12000,-12000,-12000,-2056,947,-2959,0,6300,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
3,21,55-59,0-127,187,0,loop,64,0,0,100,4842,25,-12000,-12000,-4654,2181,328,-2959,0,0,-12000,-12000,-12000,-2143,937,-3068,0,6300,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
4,21,60-65,0-127,187,0,loop,64,0,0,100,4842,25,-12000,-12000,-4654,1941,328,-2959,0,0,-12000,-12000,-12000,-2143,926,-3068,0,6300,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
5,20,66-74,0-127,187,0,loop,74,0,0,100,4842,25,-12000,-12000,-4654,1634,328,-2959,0,0,-12000,-12000,-12000,-2222,905,-3068,0,6187,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
6,20,75-83,0-127,187,0,loop,74,0,0,100,4842,25,-12000,-12000,-4654,1295,328,-2959,0,0,-12000,-12000,-12000,-2222,884,-3068,0,6187,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
7,19,84-98,0-127,187,0,loop,94,0,0,100,4842,25,-12000,-12000,-4654,947,328,-2959,0,0,-12000,-12000,-12000,-2306,863,-3162,0,6187,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
8,18,99-108,0-127,187,0,loop,109,0,0,100,4842,25,-12000,-12000,-4654,824,328,-2959,0,0,-12000,-12000,-12000,-2379,832,-3343,0,6187,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
