id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,109,0-54,0-127,215,0,loop,75,0,-43,100,10400,0,-12000,-12000,-3429,5168,1000,768,0,0,-12000,-12000,-12000,2181,1000,174,0,1350,0,0,-7973,-780,0,25,23,-7973,-808,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
1,109,55-63,0-127,214,0,loop,75,0,-43,100,10400,0,-12000,-12000,-3429,4101,1000,768,0,0,-12000,-12000,-12000,1941,1000,94,0,1350,0,0,-7973,-780,0,25,23,-7973,-808,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
2,109,64-69,0-127,214,0,loop,75,0,-43,100,9900,0,-12000,-12000,-3429,3747,1000,632,0,0,-12000,-12000,-12000,1731,1000,-53,0,1350,0,0,-7973,-780,0,25,23,-7973,-808,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
3,108,70-75,0-127,210,0,loop,85,0,13,100,9900,0,-12000,-12000,-3429,3454,1000,434,0,0,-12000,-12000,-12000,1543,1000,-188,0,1350,0,0,-7973,-780,0,25,23,-7973,-808,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
4,108,76-83,0-127,230,0,loop,85,0,13,100,8900,0,-12000,-12000,-3429,3203,1000,255,0,0,-12000,-12000,-12000,1374,1000,-314,0,1350,0,0,-7973,-780,0,25,23,-7973,-808,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
5,108,84-90,0-127,240,0,loop,85,0,13,100,8600,0,-12000,-12000,-3429,2985,1000,94,0,0,-12000,-12000,-12000,1219,1000,-432,0,1350,0,0,-7973,-780,0,25,23,-7973,-808,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
6,107,91-97,0-127,248,0,loop,109,0,13,100,8600,0,-12000,-12000,-3429,2617,1000,-53,0,0,-12000,-12000,-12000,1078,1000,-566,0,1375,0,0,-7973,-780,0,25,23,-7973,-808,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
7,107,98-108,0-127,263,0,loop,109,0,13,100,8400,0,-12000,-12000,-12000,2056,1000,-188,0,0,-12000,-12000,-12000,1078,1000,-668,0,1350,0,0,-7973,-780,0,25,23,-7973,-808,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
