id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,32,0-40,0-127,0,200,loop,-1,0,0,100,8344,0,-12000,-7973,-12000,2065,27,-1788,0,0,-12000,-12000,-12000,3504,200,116,0,1900,0,0,0,-1123,0,0,20,0,-1123,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
1,33,41-44,0-127,110,200,loop,-1,0,0,100,8321,0,-12000,-6955,-12000,2500,21,-2286,0,0,-12000,-12000,-12000,3399,200,254,0,1200,0,0,0,-1123,0,0,20,0,-1123,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
2,34,45-48,0-127,130,200,loop,-1,0,0,100,8286,0,-12000,-6861,-12000,2500,21,-2286,0,0,-12000,-12000,-12000,3604,200,116,0,1100,0,0,0,-1123,0,0,20,0,-1123,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
3,35,49-52,0-127,120,200,loop,-1,0,0,100,8321,0,-12000,-7518,-12000,2500,21,-2286,0,0,-12000,-12000,-12000,3504,200,-35,0,1400,0,0,0,-1123,0,0,20,0,-1123,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
4,36,53-56,0-127,120,200,loop,-1,0,0,100,8486,0,-12000,-7518,-12000,2500,21,-2286,0,0,-12000,-12000,-12000,3488,200,0,0,1600,0,0,0,-1123,0,0,20,0,-1123,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
5,37,57-72,0-127,120,200,loop,-1,0,0,100,10104,0,-12000,-5906,-12000,2500,21,-2286,0,0,-12000,-12000,-12000,3488,200,0,0,0,0,0,0,-1123,0,0,20,0,-1123,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
