id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,1,0-51,0-127,156,4,loop,57,0,0,100,8981,0,-12000,-12000,-3429,4101,328,-2222,0,0,-12000,-12000,-12000,2791,1000,94,0,2137,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
1,1,52-63,0-127,156,0,loop,57,0,0,100,8805,0,-12000,-12000,-3429,3747,328,-2222,0,0,-12000,-12000,-12000,2617,1000,94,0,2137,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
2,2,64-75,0-127,156,0,loop,84,0,0,100,8510,0,-12000,-12000,-3429,3454,328,-2222,0,0,-12000,-12000,-12000,2459,1000,94,0,2137,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
3,2,76-91,0-127,156,0,loop,84,0,0,100,8154,0,-12000,-12000,-3429,3203,328,-2222,0,0,-12000,-12000,-12000,1295,1000,94,0,2137,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
4,0,92-108,0-127,156,0,loop,-1,0,0,100,8745,0,-12000,-12000,-3429,2791,328,-2222,0,0,-12000,-12000,-12000,1011,1000,94,0,2137,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,24,-1,-1,0,0,0,0,0,0,0,0
