id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,16,0-37,0-127,146,0,loop,67,0,0,100,4679,1,-12000,-867,-12000,-12000,0,1731,0,0,-12000,-12000,-12000,-12000,0,5784,0,1125,0,0,-7973,-725,0,0,0,-7973,-725,0,0,80,70,-1,-1,0,0,0,0,0,0,0,0
1,16,38-49,0-127,146,0,loop,67,0,0,100,4855,1,-12000,-867,-12000,-12000,0,1634,0,0,-12000,-12000,-12000,-12000,0,5784,0,1687,0,0,-7973,-725,0,0,0,-7973,-725,0,0,80,70,-1,-1,0,0,0,0,0,0,0,0
2,16,50-61,0-127,146,0,loop,67,0,0,100,5094,1,-12000,-867,-12000,-12000,0,1543,0,0,-12000,-12000,-12000,-12000,0,5784,0,2137,0,0,-7973,-725,0,0,0,-7973,-725,0,0,80,70,-1,-1,0,0,0,0,0,0,0,0
3,15,62-73,0-127,146,0,loop,78,0,0,100,5274,1,-12000,-867,-12000,-12000,0,1456,0,0,-12000,-12000,-12000,-12000,0,5784,0,2587,0,0,-7973,-725,0,0,0,-7973,-725,0,0,80,70,-1,-1,0,0,0,0,0,0,0,0
4,14,74-83,0-127,146,0,loop,93,0,0,100,5323,1,-12000,-867,-12000,-12000,0,1295,0,0,-12000,-12000,-12000,-12000,0,5784,0,2925,0,0,-7973,-725,0,0,0,-7973,-725,0,0,80,70,-1,-1,0,0,0,0,0,0,0,0
5,14,84-92,0-127,146,0,loop,93,0,0,100,5509,1,-12000,-867,-12000,-12000,0,1219,0,0,-12000,-12000,-12000,-12000,0,5784,0,3150,0,0,-7973,-725,0,0,0,-7973,-725,0,0,80,70,-1,-1,0,0,0,0,0,0,0,0
6,17,93-99,0-127,146,0,loop,112,0,0,100,5619,1,-12000,-867,-12000,-12000,0,1148,0,0,-12000,-12000,-12000,-12000,0,5784,0,3487,0,0,-7973,-725,0,0,0,-7973,-725,0,0,80,70,-1,-1,0,0,0,0,0,0,0,0
7,17,100-108,0-127,146,0,loop,112,0,0,100,5739,1,-12000,-867,-12000,-12000,0,1148,0,0,-12000,-12000,-12000,-12000,0,5784,0,3600,0,0,-7973,-725,0,0,0,-7973,-725,0,0,80,70,-1,-1,0,0,0,0,0,0,0,0
