id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,13,0-60,0-127,190,0,loop,72,0,0,100,10620,0,-12000,-12000,-12000,2181,1000,885,0,0,-12000,-12000,-12000,885,1000,885,0,2587,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
1,13,61-76,0-127,183,0,loop,72,0,0,100,10620,0,-12000,-12000,-12000,1941,1000,255,0,0,-12000,-12000,-12000,885,1000,885,0,2587,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
2,13,77-83,0-127,183,0,loop,72,0,0,100,10620,0,-12000,-12000,-12000,1731,1000,255,0,0,-12000,-12000,-12000,885,1000,885,0,2587,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
3,12,84-96,0-127,183,0,loop,92,0,0,100,10620,0,-12000,-12000,-5959,1545,1000,75,0,0,-12000,-12000,-12000,866,1000,866,0,2587,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
4,12,97-108,0-127,183,0,loop,92,0,0,100,10620,0,-12000,-12000,-12000,1078,1000,-53,0,0,-12000,-12000,-12000,885,1000,885,0,2587,0,0,-7973,-725,0,0,0,-7973,-725,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
